epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0822,1.5635,2.54427,1.6532,0.00013,0.04167,9e-05,2e-05,nan,nan,nan,0.00326923,0.00326923,0.0705769
2,58.0804,1.71933,2.11751,1.80039,0.00051,0.0794,0.0003,9e-05,4.16039,inf,15.4652,0.00660216,0.00660216,0.0405765
3,83.8614,1.69213,2.07443,1.78922,0.03365,0.10218,0.0147,0.00454,2.84359,32.6217,5.87762,0.00993347,0.00993347,0.0105745
4,110.162,1.60915,2.10631,1.73905,0.05848,0.1699,0.04705,0.01685,2.55386,8.1693,2.87394,0.0099945,0.0099945,0.0099945
5,135.845,1.52441,1.89085,1.65482,0.20003,0.31363,0.14537,0.06567,1.76347,8.42058,2.27061,0.00999023,0.00999023,0.00999023
6,164.759,1.4787,1.76426,1.62146,0.25092,0.34677,0.18344,0.08866,2.08984,3.16156,2.41932,0.00998474,0.00998474,0.00998474
7,194.714,1.44452,1.68872,1.59718,0.04586,0.09734,0.02771,0.0117,2.23062,7.43942,2.59026,0.00997803,0.00997803,0.00997803
8,223.54,1.42723,1.65087,1.57298,0.38445,0.29932,0.19488,0.11182,1.72396,4.03211,2.05431,0.00997011,0.00997011,0.00997011
9,252.666,1.38654,1.6076,1.54281,0.28262,0.20898,0.13113,0.07782,1.73356,3.73059,2.07516,0.00996097,0.00996097,0.00996097
10,282.399,1.3531,1.53845,1.51719,0.30298,0.34523,0.20797,0.12025,1.54259,3.59749,1.888,0.00995062,0.00995062,0.00995062
11,312.332,1.27564,1.41865,1.46225,0.47936,0.41693,0.30245,0.1846,1.44481,2.75775,1.75532,0.00993906,0.00993906,0.00993906
12,341.196,1.26865,1.4155,1.46332,0.40385,0.49417,0.38371,0.23837,1.44058,2.0559,1.7468,0.00992629,0.00992629,0.00992629
13,370.085,1.35021,1.51935,1.52838,0.31329,0.41591,0.25816,0.17493,1.48415,3.86807,1.81998,0.00991232,0.00991232,0.00991232
14,396.298,1.26433,1.4363,1.46331,0.58752,0.49972,0.43097,0.30212,1.32868,2.0117,1.67924,0.00989715,0.00989715,0.00989715
15,423.06,1.19344,1.38162,1.42056,0.34356,0.41976,0.27164,0.16615,1.59427,3.16443,1.94743,0.00988079,0.00988079,0.00988079
16,450.412,1.1508,1.32623,1.37659,0.55148,0.44336,0.42435,0.30234,1.23991,2.18722,1.58515,0.00986323,0.00986323,0.00986323
17,477.47,1.16486,1.31834,1.39413,0.49504,0.45731,0.4024,0.26295,1.45291,2.09889,1.72934,0.00984449,0.00984449,0.00984449
